contract,option_type,strike,n_pairs,lag1_autocorr_over_time,mean_abs_iv_change,median_abs_iv_change,mean_signed_iv_change,mean_abs_change_normal_gap,mean_abs_change_after_gap
NIFTY27JAN2625200CE,CE,25200,628,0.9232049154881464,0.01601358280254777,0.009954999999999999,-0.0010481687898089172,0.015715217391304347,0.04248285714285714
NIFTY27JAN2625300CE,CE,25300,642,0.967089237371787,0.011763193146417446,0.007785,0.0004825389408099686,0.011417023622047244,0.043165714285714286
NIFTY27JAN2625400CE,CE,25400,609,0.9817855555733598,0.009643940886699507,0.006849999999999981,0.0007533661740558292,0.009273810316139768,0.03745
NIFTY27JAN2625500CE,CE,25500,648,0.9898676326042525,0.008114243827160495,0.005330000000000008,0.0004934104938271603,0.007723437013996889,0.058372
NIFTY27JAN2625600CE,CE,25600,642,0.9907083003856534,0.007716931464174455,0.004545,0.0017919781931464178,0.0072666139240506345,0.036176999999999994
NIFTY27JAN2625700CE,CE,25700,616,0.9936006889464959,0.007134334415584416,0.0038650000000000143,0.00173112012987013,0.0070738283828382835,0.010801000000000003
NIFTY27JAN2625800CE,CE,25800,600,0.9915758213233692,0.007737933333333333,0.0034049999999999983,0.0029778,0.007162148900169206,0.04554777777777778
NIFTY27JAN2625900CE,CE,25900,639,0.9915882892048424,0.007211064162754303,0.0028799999999999937,0.0030002034428794986,0.006646418383518224,0.05174750000000001
NIFTY27JAN2626000CE,CE,26000,644,0.9954940312388867,0.005670201863354037,0.002449999999999987,0.001748245341614907,0.005012955974842768,0.05792125000000001
NIFTY27JAN2626100CE,CE,26100,646,0.9957894412420563,0.006999179566563466,0.002340000000000002,0.003638467492260061,0.006296427457098283,0.097092
NIFTY27JAN2626200CE,CE,26200,597,0.9933753247545876,0.007152830820770518,0.0020999999999999908,0.004405494137353433,0.007148169491525423,0.007545714285714285
NIFTY27JAN2626300CE,CE,26300,642,0.9965182316572605,0.005969049844236761,0.0019550000000000053,0.0028239719626168224,0.005185779527559056,0.07702285714285716
NIFTY27JAN2626400CE,CE,26400,598,0.9993163177259131,0.0036885618729096984,0.0016450000000000006,0.0011432107023411368,0.003666587837837838,0.005856666666666667
NIFTY27JAN2626500CE,CE,26500,638,0.9963688949019651,0.006738793103448277,0.0016000000000000111,0.003961927899686521,0.006751803797468355,0.005368333333333339
NIFTY27JAN2623800PE,PE,23800,611,0.9944196605456077,0.00585126022913257,0.0012800000000000034,0.003322356792144027,0.004881724709784412,0.07892999999999999
NIFTY27JAN2623900PE,PE,23900,620,0.9947330558567127,0.005359193548387096,0.0012500000000000011,0.00290025806451613,0.004408852459016393,0.06333
NIFTY27JAN2624000PE,PE,24000,610,0.9819643629004636,0.007171409836065572,0.0012699999999999934,0.004666721311475408,0.0063039101497504154,0.06510111111111111
NIFTY27JAN2624100PE,PE,24100,652,0.9857567360060436,0.008435092024539879,0.0012549999999999922,0.006102177914110429,0.007714907120743033,0.08597500000000001
NIFTY27JAN2624200PE,PE,24200,583,0.9833828204692664,0.007573087478559176,0.0013299999999999979,0.004709725557461407,0.006870121527777776,0.06541714285714287
NIFTY27JAN2624300PE,PE,24300,641,0.9858423922730678,0.008273650546021841,0.0013799999999999923,0.0054343369734789395,0.007634425196850395,0.075925
NIFTY27JAN2624400PE,PE,24400,609,0.9855678227658923,0.007818669950738915,0.0013200000000000156,0.005503727422003284,0.0072002828618968374,0.05427499999999999
NIFTY27JAN2624500PE,PE,24500,632,0.9844490274340997,0.006450791139240506,0.0013900000000000023,0.003272816455696202,0.006466805778491171,0.00534222222222222
NIFTY27JAN2624600PE,PE,24600,620,0.9836066967817274,0.0066858064516129015,0.0015300000000000036,0.0032414193548387102,0.006669559543230015,0.008108571428571429
NIFTY27JAN2624700PE,PE,24700,653,0.9748210981847191,0.00689042879019908,0.0015099999999999836,0.003060719754977029,0.006349907264296754,0.06517666666666667
NIFTY27JAN2624800PE,PE,24800,600,0.9667226849634998,0.006722283333333333,0.001465000000000008,0.0026062166666666665,0.006132694915254236,0.041508
NIFTY27JAN2624900PE,PE,24900,634,0.9447614985277811,0.005828201892744481,0.0017799999999999969,0.0013807255520504737,0.005212736000000001,0.04856888888888889
NIFTY27JAN2625000PE,PE,25000,626,0.9068710874934477,0.008038929712460063,0.0019599999999999965,0.0012122204472843452,0.007389837662337662,0.048022999999999996
NIFTY27JAN2625100PE,PE,25100,610,0.7776272399338223,0.010658590163934426,0.002025000000000006,0.0005847868852459017,0.00996932119205298,0.080045
