original_row_index,timestamp_idx_27jan,datetime,datetime_parsed,underlying_price,contract,option_type,strike,moneyness,iv
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625200CE,CE,25200,1.0034623432836713,0.27499
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625300CE,CE,25300,1.0074443367094001,0.30202
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625400CE,CE,25400,1.011426330135129,0.32281
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625500CE,CE,25500,1.0154083235608578,0.35058
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625600CE,CE,25600,1.0193903169865868,0.38461
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625700CE,CE,25700,1.0233723104123156,0.42786
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625800CE,CE,25800,1.0273543038380444,0.47824
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2625900CE,CE,25900,1.0313362972637732,0.52453
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2626000CE,CE,26000,1.0353182906895022,0.57367
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2626100CE,CE,26100,1.039300284115231,0.62043
900,0.0,27-01-2026 09:15,2026-01-27 09:15:00,25113.05,NIFTY27JAN2626300CE,CE,26300,1.0472642709666886,0.70998
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2625200CE,CE,25200,1.008754548402205,0.37173
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2625300CE,CE,25300,1.0127575426418962,0.38093
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2625800CE,CE,25800,1.0327725138403525,0.55918
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2625900CE,CE,25900,1.0367755080800438,0.60764
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2626000CE,CE,26000,1.0407785023197351,0.6609
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2626100CE,CE,26100,1.0447814965594264,0.70752
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2626200CE,CE,26200,1.0487844907991177,0.76109
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2626300CE,CE,26300,1.052787485038809,0.80431
901,1.0,27-01-2026 09:20,2026-01-27 09:20:00,24981.3,NIFTY27JAN2626400CE,CE,26400,1.0567904792785003,0.84893
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625200CE,CE,25200,1.0103966608796064,0.41215
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625300CE,CE,25300,1.0144061714386525,0.41457
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625400CE,CE,25400,1.0184156819976986,0.42548
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625600CE,CE,25600,1.0264347031157905,0.4958
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625700CE,CE,25700,1.0304442136748366,0.53823
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2625800CE,CE,25800,1.0344537242338827,0.58329
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2626000CE,CE,26000,1.0424727453519749,0.6864
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2626100CE,CE,26100,1.046482255911021,0.73837
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2626200CE,CE,26200,1.050491766470067,0.78617
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2626300CE,CE,26300,1.0545012770291131,0.83239
902,2.0,27-01-2026 09:25,2026-01-27 09:25:00,24940.7,NIFTY27JAN2626400CE,CE,26400,1.058510787588159,0.877
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2625200CE,CE,25200,1.010246788858421,0.43418
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2625300CE,CE,25300,1.0142557046872243,0.43019
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2625500CE,CE,25500,1.0222735363448308,0.45789
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2625700CE,CE,25700,1.0302913680024373,0.53966
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2625900CE,CE,25900,1.038309199660044,0.63551
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2626000CE,CE,26000,1.0423181154888472,0.68635
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2626200CE,CE,26200,1.0503359471464537,0.79262
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2626300CE,CE,26300,1.054344862975257,0.83608
903,3.0,27-01-2026 09:30,2026-01-27 09:30:00,24944.4,NIFTY27JAN2626500CE,CE,26500,1.0623626946328635,0.92433
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625200CE,CE,25200,1.0072626837155203,0.4495
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625300CE,CE,25300,1.0112597578572484,0.42747
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625400CE,CE,25400,1.0152568319989768,0.41019
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625500CE,CE,25500,1.019253906140705,0.42032
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625600CE,CE,25600,1.0232509802824332,0.45178
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625800CE,CE,25800,1.03124512856589,0.52925
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2625900CE,CE,25900,1.035242202707618,0.57595
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2626000CE,CE,26000,1.0392392768493464,0.62223
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2626100CE,CE,26100,1.0432363509910745,0.67629
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2626300CE,CE,26300,1.0512304992745312,0.77034
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2626400CE,CE,26400,1.0552275734162593,0.81264
904,4.0,27-01-2026 09:35,2026-01-27 09:35:00,25018.3,NIFTY27JAN2626500CE,CE,26500,1.0592246475579876,0.85271
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625200CE,CE,25200,1.0043501914044364,0.4547
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625300CE,CE,25300,1.0083357080369937,0.4137
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625400CE,CE,25400,1.012321224669551,0.39014
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625500CE,CE,25500,1.0163067413021083,0.38476
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625600CE,CE,25600,1.0202922579346654,0.40993
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625700CE,CE,25700,1.0242777745672227,0.44455
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625800CE,CE,25800,1.02826329119978,0.48925
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2625900CE,CE,25900,1.0322488078323373,0.53745
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626000CE,CE,26000,1.0362343244648946,0.58193
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626100CE,CE,26100,1.040219841097452,0.63655
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626200CE,CE,26200,1.0442053577300092,0.68678
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626300CE,CE,26300,1.0481908743625665,0.73576
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626400CE,CE,26400,1.0521763909951238,0.76941
905,5.0,27-01-2026 09:40,2026-01-27 09:40:00,25090.85,NIFTY27JAN2626500CE,CE,26500,1.0561619076276811,0.81462
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625200CE,CE,25200,1.0023049035380966,0.36816
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625300CE,CE,25300,1.0062823039489621,0.34955
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625400CE,CE,25400,1.0102597043598276,0.3373
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625500CE,CE,25500,1.0142371047706928,0.34272
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625700CE,CE,25700,1.0221919055924238,0.40126
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625800CE,CE,25800,1.0261693060032893,0.44811
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2625900CE,CE,25900,1.0301467064141547,0.49461
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2626000CE,CE,26000,1.0341241068250202,0.54701
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2626100CE,CE,26100,1.0381015072358857,0.59015
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2626400CE,CE,26400,1.050033708468482,0.74219
906,6.0,27-01-2026 09:45,2026-01-27 09:45:00,25142.05,NIFTY27JAN2626500CE,CE,26500,1.0540111088793476,0.78754
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625200CE,CE,25200,1.0022889575200506,0.34662
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625300CE,CE,25300,1.0062662946530667,0.32683
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625400CE,CE,25400,1.0102436317860828,0.31992
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625500CE,CE,25500,1.0142209689190989,0.32756
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625600CE,CE,25600,1.018198306052115,0.35831
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625700CE,CE,25700,1.022175643185131,0.39611
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625800CE,CE,25800,1.026152980318147,0.44871
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2625900CE,CE,25900,1.0301303174511633,0.50094
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2626000CE,CE,26000,1.0341076545841794,0.54737
907,7.0,27-01-2026 09:50,2026-01-27 09:50:00,25142.45,NIFTY27JAN2626100CE,CE,26100,1.0380849917171955,0.59426
