row_index,datetime,contract,option_type,strike,date,method,a,pred_t,pred_cross_section,final_prediction
0,07-01-2026 09:15,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.1134130298824883,0.1134130298824883
0,07-01-2026 09:15,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.10180234864431129,0.10180234864431129
0,07-01-2026 09:15,NIFTY27JAN2624100PE,PE,24100,2026-01-07,pre27_cross_only,0.0,,0.16267627433628337,0.16267627433628337
1,07-01-2026 09:20,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.10127921762675732,0.10127921762675732
1,07-01-2026 09:20,NIFTY27JAN2625400CE,CE,25400,2026-01-07,pre27_cross_only,0.0,,0.10762032358536992,0.10762032358536992
1,07-01-2026 09:20,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.10661061701104035,0.10661061701104035
1,07-01-2026 09:20,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10164263950548015,0.10164263950548015
1,07-01-2026 09:20,NIFTY27JAN2624000PE,PE,24000,2026-01-07,pre27_cross_only,0.0,,0.16945355007379914,0.16945355007379914
1,07-01-2026 09:20,NIFTY27JAN2624200PE,PE,24200,2026-01-07,pre27_cross_only,0.0,,0.1588968149181391,0.1588968149181391
1,07-01-2026 09:20,NIFTY27JAN2624800PE,PE,24800,2026-01-07,pre27_cross_only,0.0,,0.1282085010667927,0.1282085010667927
1,07-01-2026 09:20,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11836136032155506,0.11836136032155506
2,07-01-2026 09:25,NIFTY27JAN2625300CE,CE,25300,2026-01-07,pre27_cross_only,0.0,,0.09379309955634088,0.09379309955634088
2,07-01-2026 09:25,NIFTY27JAN2626500CE,CE,26500,2026-01-07,pre27_cross_only,0.0,,0.08930864400520439,0.08930864400520439
2,07-01-2026 09:25,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15413072679023374,0.15413072679023374
2,07-01-2026 09:25,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11301509926234046,0.11301509926234046
3,07-01-2026 09:30,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10204449798021391,0.10204449798021391
3,07-01-2026 09:30,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.09069622142590696,0.09069622142590696
3,07-01-2026 09:30,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17617581172742336,0.17617581172742336
3,07-01-2026 09:30,NIFTY27JAN2624300PE,PE,24300,2026-01-07,pre27_cross_only,0.0,,0.15312854120026775,0.15312854120026775
4,07-01-2026 09:35,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.10247989533627164,0.10247989533627164
4,07-01-2026 09:35,NIFTY27JAN2626100CE,CE,26100,2026-01-07,pre27_cross_only,0.0,,0.09640568777552384,0.09640568777552384
4,07-01-2026 09:35,NIFTY27JAN2623900PE,PE,23900,2026-01-07,pre27_cross_only,0.0,,0.17643518423340349,0.17643518423340349
4,07-01-2026 09:35,NIFTY27JAN2624600PE,PE,24600,2026-01-07,pre27_cross_only,0.0,,0.13748630834997777,0.13748630834997777
4,07-01-2026 09:35,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11277124745076791,0.11277124745076791
5,07-01-2026 09:40,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.08628500000000046,0.08628500000000046
5,07-01-2026 09:40,NIFTY27JAN2625800CE,CE,25800,2026-01-07,pre27_cross_only,0.0,,0.08734,0.08734
5,07-01-2026 09:40,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.0845,0.0845
5,07-01-2026 09:40,NIFTY27JAN2626200CE,CE,26200,2026-01-07,pre27_cross_only,0.0,,0.0834350000000002,0.0834350000000002
5,07-01-2026 09:40,NIFTY27JAN2625100PE,PE,25100,2026-01-07,pre27_cross_only,0.0,,0.11313603819834928,0.11313603819834928
6,07-01-2026 09:45,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.08545009840835938,0.08545009840835938
6,07-01-2026 09:45,NIFTY27JAN2625900CE,CE,25900,2026-01-07,pre27_cross_only,0.0,,0.09996890843197412,0.09996890843197412
6,07-01-2026 09:45,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08956383676606611,0.08956383676606611
6,07-01-2026 09:45,NIFTY27JAN2625000PE,PE,25000,2026-01-07,pre27_cross_only,0.0,,0.11569076952093482,0.11569076952093482
7,07-01-2026 09:50,NIFTY27JAN2625200CE,CE,25200,2026-01-07,pre27_cross_only,0.0,,0.12687836879340608,0.12687836879340608
7,07-01-2026 09:50,NIFTY27JAN2625500CE,CE,25500,2026-01-07,pre27_cross_only,0.0,,0.10993790214385513,0.10993790214385513
7,07-01-2026 09:50,NIFTY27JAN2625600CE,CE,25600,2026-01-07,pre27_cross_only,0.0,,0.10634821429168895,0.10634821429168895
7,07-01-2026 09:50,NIFTY27JAN2626400CE,CE,26400,2026-01-07,pre27_cross_only,0.0,,0.08824878110359258,0.08824878110359258
