row_index,datetime,contract,option_type,strike,pred_t,time_fit_kind,n_train_previous_27jan,train_indices,a,a_raw
900,27-01-2026 09:15,NIFTY27JAN2626200CE,CE,26200,,not_enough_previous_points,0,,0.060303874445281215,0.060303874445281215
900,27-01-2026 09:15,NIFTY27JAN2626400CE,CE,26400,,not_enough_previous_points,0,,0.024013610694259162,0.024013610694259162
900,27-01-2026 09:15,NIFTY27JAN2626500CE,CE,26500,,not_enough_previous_points,0,,0.05734063137838807,0.05734063137838807
901,27-01-2026 09:20,NIFTY27JAN2625400CE,CE,25400,,not_enough_previous_points,1,900,0.005708063414123387,0.005708063414123387
901,27-01-2026 09:20,NIFTY27JAN2625500CE,CE,25500,,not_enough_previous_points,1,900,0.009761026506579314,0.009761026506579314
901,27-01-2026 09:20,NIFTY27JAN2625600CE,CE,25600,,not_enough_previous_points,1,900,0.022355822206270307,0.022355822206270307
901,27-01-2026 09:20,NIFTY27JAN2625700CE,CE,25700,,not_enough_previous_points,1,900,0.027369841582823556,0.027369841582823556
901,27-01-2026 09:20,NIFTY27JAN2626500CE,CE,26500,,not_enough_previous_points,0,,0.05734063137838807,0.05734063137838807
901,27-01-2026 09:20,NIFTY27JAN2624400PE,PE,24400,,not_enough_previous_points,1,900,0.06584961680262737,0.06584961680262737
901,27-01-2026 09:20,NIFTY27JAN2624900PE,PE,24900,,not_enough_previous_points,1,900,0.00830256739253221,0.00830256739253221
901,27-01-2026 09:20,NIFTY27JAN2625100PE,PE,25100,,not_enough_previous_points,1,900,0.0,-0.003616614779778526
902,27-01-2026 09:25,NIFTY27JAN2625500CE,CE,25500,,not_enough_previous_points,1,900,0.009761026506579314,0.009761026506579314
902,27-01-2026 09:25,NIFTY27JAN2625900CE,CE,25900,,not_enough_previous_points,2,900|901,0.03992440684818397,0.03992440684818397
902,27-01-2026 09:25,NIFTY27JAN2626500CE,CE,26500,,not_enough_previous_points,0,,0.05734063137838807,0.05734063137838807
902,27-01-2026 09:25,NIFTY27JAN2623900PE,PE,23900,,not_enough_previous_points,2,900|901,0.06365835618452689,0.06365835618452689
902,27-01-2026 09:25,NIFTY27JAN2624600PE,PE,24600,,not_enough_previous_points,2,900|901,0.04699268242093666,0.04699268242093666
902,27-01-2026 09:25,NIFTY27JAN2625100PE,PE,25100,,not_enough_previous_points,1,900,0.0,-0.003616614779778526
903,27-01-2026 09:30,NIFTY27JAN2625400CE,CE,25400,,not_enough_previous_points,2,900|902,0.005708063414123387,0.005708063414123387
903,27-01-2026 09:30,NIFTY27JAN2625600CE,CE,25600,,not_enough_previous_points,2,900|902,0.022355822206270307,0.022355822206270307
