n,mse,rmse,mae,median_abs_error,bias,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,seed,regime,option_type
265,0.0010862604114944571,0.03295846494444875,0.017854106366950617,0.008479007212872813,0.0004761009184431721,0.04133247018221322,0.07288712758693422,0.13449204844759766,0.19686898479834364,7,jan27,CE
259,0.0006309428328513661,0.025118575454260262,0.013471288132771759,0.00707842758885624,0.0025748930663279136,0.030609966188822963,0.05104619578986872,0.12999442701185127,0.17110432678595822,7,jan27,PE
1052,9.302995764361341e-06,0.003050081271763318,0.0015923701658378034,0.0009063909687214017,0.0005615481647766435,0.003054439276139786,0.004896539971470932,0.013922876896856281,0.0388857684273769,7,pre27,CE
1045,1.2158126050609315e-06,0.0011026389277823143,0.0007072162327803149,0.00048516116988309155,0.00023546800808099767,0.0014714408570108972,0.0019790196884914226,0.004109190207268896,0.010969555903942996,7,pre27,PE
265,0.001012119466428926,0.031813825083270415,0.017823268868866995,0.00886579745570093,-0.0049572753881751115,0.03732917890114402,0.08041135487187837,0.13236513178472897,0.16072438666960798,11,jan27,CE
259,0.00568437967380061,0.07539482524550746,0.022917078913620326,0.008351033060948865,0.010775413604008584,0.04066839769987149,0.061344704519897084,0.22065002630074484,0.913576713496691,11,jan27,PE
1052,9.057915082470976e-06,0.0030096370350045495,0.0015584784530867735,0.0008442393557348965,0.0005573903818516775,0.0030793045505781757,0.005417036094322161,0.013193848351334315,0.026782736538730686,11,pre27,CE
1045,1.136440768647906e-06,0.0010660397594123335,0.0007127384699574148,0.000495768803912805,0.00021926665690810785,0.0014677162882171693,0.002009520431042894,0.004234001096499626,0.007988128332717809,11,pre27,PE
265,0.0008480321889885016,0.02912099223907904,0.017263411019379345,0.009550083967133416,0.0003331122671654009,0.03819020860932387,0.055531108937817326,0.13520500813368988,0.1605352976541971,19,jan27,CE
259,0.0018938113325294938,0.04351794265046883,0.020001468254638204,0.007460186185656581,0.0016232128012672372,0.04486648814206277,0.07665879275722082,0.21080415023946222,0.34136900000000003,19,jan27,PE
1052,9.890665563229865e-06,0.0031449428553202464,0.0015650414910676647,0.0008234251865945966,0.0004531587325157864,0.0029982266328401792,0.005451071077003503,0.01397253914492518,0.039842160771064894,19,pre27,CE
1045,1.1619649053270046e-06,0.0010779447598680577,0.0007116786370394755,0.0005184767013086122,0.0002246298829550553,0.0014532383240252412,0.0020494550268554345,0.003517786160269934,0.009342033071537609,19,pre27,PE
265,0.0006557835364185999,0.025608270859599245,0.015160484672366832,0.008440677687232667,-0.0005729713611942135,0.037125635593986114,0.05979684193561406,0.10664322512580536,0.12529872430623912,23,jan27,CE
